item_id,item_name,gold_total,gold_sell
1001,Boots,300,210
1004,Faerie Charm,200,140
1006,Rejuvenation Bead,300,120
1011,Giant's Belt,900,630
1018,Cloak of Agility,600,420
1026,Blasting Wand,850,595
1027,Sapphire Crystal,300,210
1028,Ruby Crystal,400,280
1029,Cloth Armor,300,210
1031,Chain Vest,800,560
1033,Null-Magic Mantle,400,280
1035,Emberknife,350,140
1036,Long Sword,350,245
1037,Pickaxe,875,613
1038,B. F. Sword,1300,910
1039,Hailblade,350,140
1040,Obsidian Edge,350,140
1042,Dagger,250,175
1043,Recurve Bow,700,490
1052,Amplifying Tome,400,280
1053,Vampiric Scepter,900,630
1054,Doran's Shield,450,180
1055,Doran's Blade,450,180
1056,Doran's Ring,400,160
1057,Negatron Cloak,850,595
1058,Needlessly Large Rod,1200,840
1082,Dark Seal,350,140
1083,Cull,450,180
1086,Doran's Bow,400,160
1090,Quest: Top,0,0
1091,Quest: Mid,0,0
1092,Quest: Bot,0,0
1093,Quest: Support,0,0
1094,Quest: Jungle,0,0
1101,Scorchclaw Pup,450,0
1102,Gustwalker Hatchling,450,0
1103,Mosstomper Seedling,450,0
1104,Eye of the Herald,0,0
1105,Mosstomper Seedling,450,180
1106,Gustwalker Hatchling,450,180
1107,Scorchclaw Pup,450,180
1111,Jarvan I's,300,210
1120,Doran's Helm,450,180
1200,Top Lane Quest,0,0
1201,Mid Lane Quest,0,0
1202,Bot Lane Quest,0,0
1203,Support Quest,0,0
1204,Jungle Quest,0,0
1205,Jungle Quest Reward,0,0
1206,Mid Lane Quest Reward,0,0
1207,Bot Lane Quest Reward,0,0
1208,Support Quest Reward,0,0
1209,Jungle Quest Reward,0,0
1210,Jungle Quest Reward,0,0
1211,Jungle Quest Reward,0,0
1220,Unleashed Teleport (Top Lane Quest Reward),0,0
1221,Top Lane Quest Reward,0,0
1222,Top Lane Quest,0,0
123430,Rite of Ruin,3000,2100
124011,Sword of Blossoming Dawn,2350,1645
126697,Hubris,2950,2065
1500,Penetrating Bullets,0,0
1501,Fortification,0,0
1502,Reinforced Armor,0,0
1503,Warden's Eye,0,0
1504,Vanguard,0,0
1505,Reinforced Armor,0,0
1506,Reinforced Armor,0,0
1507,Overcharged,0,0
1508,Anti-tower Socks,0,0
1509,Gusto,0,0
1510,Phreakish Gusto,0,0
1511,Super Mech Armor,0,0
1512,Super Mech Power Field,0,0
1515,Turret Plating,0,0
1516,Structure Bounty,0,0
1517,Structure Bounty,0,0
1518,Structure Bounty,0,0
1519,Structure Bounty,0,0
1520,OvererchargedHA,0,0
1521,Fortification,0,0
1522,Tower Power-Up,0,0
1523,Overcharged,0,0
1524,Overgrowth,0,0
2001,Recall,60,42
2002,Enhanced Recall,60,42
2003,Health Potion,50,20
2007,Disabled Recall,60,42
2008,,60,42
2010,Total Biscuit of Everlasting Will,50,5
2015,Kircheis Shard,700,490
2019,Steel Sigil,1100,770
2020,The Brutalizer,1337,936
2021,Tunneler,1150,805
2022,Glowing Mote,250,175
2031,Refillable Potion,150,60
2033,Corrupting Potion,500,200
2049,Guardian's Amulet,500,250
2050,Guardian's Shroud,500,250
2051,Guardian's Horn,950,665
2052,Poro-Snax,0,0
2055,Control Ward,75,30
2056,Stealth Ward,40,16
2065,Shurelya's Battlesong,2200,1540
2138,Elixir of Iron,500,200
2139,Elixir of Sorcery,500,200
2140,Elixir of Wrath,500,200
2141,Cappa Juice,300,300
2142,Juice of Power,500,500
2143,Juice of Vitality,500,500
2144,Juice of Haste,500,500
2145,Lucky Dice,0,0
2146,Enhanced Lucky Dice,0,0
2147,Augment Level,1250,0
2150,Elixir of Skill,0,0
2151,Elixir of Avarice,50,20
2152,Elixir of Force,50,20
2161,Bandle Juice of Power,1000,1000
2162,Bandle Juice of Vitality,1000,1000
2163,Bandle Juice of Haste,1000,1000
220000,Stat Bonus,750,375
220001,Legendary Fighter Item,2250,2250
220002,Legendary Marksman Item,2250,2250
220003,Legendary Assassin Item,2250,2250
220004,Legendary Mage Item,2250,2250
220005,Legendary Tank Item,2250,2250
220006,Legendary Support Item,2250,2250
220007,Prismatic Item,4000,4000
220008,Anvil Voucher,750,0
220009,Gold Stat Anvil Voucher,750,0
220010,Prismatic Stat Voucher,750,0
220011,Bravery Voucher,750,0
220012,Shardblade,2500,0
221011,Giant's Belt,500,350
221026,Blasting Wand,500,350
221031,Chain Vest,500,350
221038,B. F. Sword,1300,910
221043,Recurve Bow,500,350
221053,Vampiric Scepter,500,350
221057,Negatron Cloak,450,315
221058,Needlessly Large Rod,500,0
222022,Glowing Mote,250,175
222051,Guardian's Horn,500,250
222065,Shurelya's Battlesong,2500,1250
222141,Cappa Juice,500,500
222502,Unending Despair,2500,1750
222503,Blackfire Torch,2500,1250
222504,Kaenic Rookern,2500,1250
222510,Dusk and Dawn,2500,1750
222512,Fiendhunter Bolts,2500,1250
222517,Endless Hunger,2500,1750
222522,Actualizer,2500,1750
222523,Hexoptics C44,2500,1750
222524,Bandlepipes,2500,1750
222525,Protoplasm Harness,2500,1750
222526,Whispering Circlet,2500,1250
222530,Diadem of Songs,2500,1750
223001,Evenshroud,2500,1750
223002,Trailblazer,2500,1750
223003,Archangel's Staff,2500,1250
223004,Manamune,2500,1250
223005,Ghostcrawlers,500,350
223006,Berserker's Greaves,500,350
223008,Gluttonous Greaves,500,350
223009,Boots of Swiftness,500,350
223011,Chemtech Putrifier,1900,1330
223020,Sorcerer's Shoes,500,350
223026,Guardian Angel,2500,1250
223031,Infinity Edge,2500,1250
223032,Yun Tal Wildarrows,2500,1250
223033,Mortal Reminder,2500,1250
223036,Lord Dominik's Regards,2500,1250
223039,Atma's Reckoning,2500,1250
223040,Seraph's Embrace,2500,1750
223042,Muramana,2500,1750
223046,Phantom Dancer,2500,1250
223047,Plated Steelcaps,500,350
223050,Zeke's Convergence,2500,1250
223053,Sterak's Gage,2500,1250
223057,Sheen,2500,1750
223065,Spirit Visage,2500,1750
223067,Kindlegem,500,350
223068,Sunfire Aegis,2500,1250
223069,Void Immolation,6000,4200
223071,Black Cleaver,2500,1250
223072,Bloodthirster,2500,1250
223073,Experimental Hexplate,2500,1750
223074,Ravenous Hydra,2500,1250
223075,Thornmail,2500,1250
223078,Trinity Force,2500,1250
223084,Heartsteel,2500,1250
223085,Runaan's Hurricane,2500,1250
223087,Statikk Shiv,2500,1250
223089,Rabadon's Deathcap,2500,1250
223091,Wit's End,2500,1250
223094,Rapid Firecannon,2500,1250
223095,Stormrazor,2500,1250
223100,Lich Bane,2500,1250
223102,Banshee's Veil,2500,1250
223105,Aegis of the Legion,500,350
223107,Redemption,2500,1250
223109,Knight's Vow,2500,1250
223110,Frozen Heart,2500,1250
223111,Mercury's Treads,500,350
223112,Guardian's Orb,500,250
223115,Nashor's Tooth,2500,1250
223116,Rylai's Crystal Scepter,2500,1250
223118,Malignance,2500,1250
223119,Winter's Approach,2500,1250
223121,Fimbulwinter,2500,1750
223124,Guinsoo's Rageblade,2500,1250
223135,Void Staff,2500,1250
223137,Cryptbloom,2500,1250
223139,Mercurial Scimitar,2500,1250
223142,Youmuu's Ghostblade,2500,1250
223143,Randuin's Omen,2500,1250
223146,Hextech Gunblade,2500,1250
223152,Hextech Rocketbelt,2500,1250
223153,Blade of The Ruined King,2500,1250
223156,Maw of Malmortius,2500,1250
223157,Zhonya's Hourglass,2500,1250
223158,Ionian Boots of Lucidity,500,350
223161,Spear of Shojin,2500,1250
223165,Morellonomicon,2500,1250
223172,Zephyr,2500,1250
223177,Guardian's Blade,500,250
223181,Hullbreaker,2500,1250
223184,Guardian's Hammer,500,250
223185,Guardian's Dirk,500,250
223190,Locket of the Iron Solari,2500,1250
223193,Gargoyle Stoneplate,2500,1750
223222,Mikael's Blessing,2500,1250
223302,Terminus,2500,1250
223504,Ardent Censer,2500,1250
223508,Essence Reaver,2500,1250
