match_id,puuid,champion,kills,deaths,assists,gold_earned,damage_to_champions,minions_killed,vision_score,win,team_position,game_duration_sec,game_version,item0,item1,item2,item3,item4,item5
NA1_5576615831,3ES__2h8z78Zwn5yRx3B-M_fOOuZI-6J41oDTgi4DSMYIKJit2G8gy_0OCnn8DG_bKzNBGYxo1bACA,Rumble,6,8,3,12907,30526,253,52,False,TOP,2006,16.11.782.9736,3152,6653,3157,3145,3047,0
NA1_5576615831,tUfQUcX2PNY5X3S07_qcc1CFrfFBIPzDV-Of35l6bqzh3MtjECZK2dyBpiV_afjaQ0eWCklCvOa06w,MasterYi,10,4,0,17801,21118,81,32,False,JUNGLE,2006,16.11.782.9736,3153,6672,3047,3156,6333,1038
NA1_5576615831,CnRl8ZEh8ui_ZSUJ-vj48SROqekGpOaf0vD32w9rW4OWwrsoRahxrGAL9o8cUVlj2MzHWtnmUxJ7Aw,Veigar,1,10,1,10982,6568,252,31,False,MIDDLE,2006,16.11.782.9736,1058,3152,3040,3170,3066,3113
NA1_5576615831,O1fcMdHW6RJhaxQNCgOp2B1GjD57xK5sy1dgnCohQIPjtekhNhUifD4BKVM9RRrIXTW-eE4c_Aqywg,Ezreal,3,8,4,15137,24640,283,17,False,BOTTOM,2006,16.11.782.9736,6694,3042,3078,2517,3082,1029
NA1_5576615831,sU14RD1R1BAaQHsveJmWuELTU2ca8sEjPOixxvNuovoieC6Umf8wcDe-GX1M4MPhYnB28RRSFojfgQ,Janna,2,7,12,9686,8754,29,127,False,UTILITY,2006,16.11.782.9736,3222,3870,3158,4005,4642,3113
NA1_5576615831,1o5CMKAmbe1tvKbS8FlgU1gXcFHVsuHqAvfl9U2XXXiL50EN72BOPO38pSSTdGjiY1KohkPy8calQw,Urgot,9,5,3,14364,22677,256,35,True,TOP,2006,16.11.782.9736,3071,2520,3009,3134,1036,3142
NA1_5576615831,zYQS5stpcqKoqI0LJEsqtCDa2a8CbO-4ZTdTPL1mpTUyOOk3rNNUJ7HSLABi-rJis0KOoVS70kA-NA,Jayce,6,4,11,16684,18441,28,31,True,JUNGLE,2006,16.11.782.9736,6699,3142,3009,6695,2520,6694
NA1_5576615831,-aBbKKIsKkXjLiirCVr0C7sYeqo_YDikNzH215NC7qqFFuZ1-McM087VnJh6l3MEvJGqQ9hk8F8G0g,Aurora,19,1,8,20105,50654,316,43,True,MIDDLE,2006,16.11.782.9736,3152,4645,3135,4646,3175,3089
NA1_5576615831,M96JR6dDIdZOP2BaoEWkTtnYel4Ugc-o8yWXJR3NLl5UvKWKZicnV-PmS20DZ2zgnwrgQXC9VWBRzA,Zeri,3,8,4,14715,17629,243,30,True,BOTTOM,2006,16.11.782.9736,3097,2512,6673,3031,1029,0
NA1_5576615831,1_NPWb14o2DP9-PHLhYweUL3J_qAya86IHeuLlAg4POG_LizEEFs4dAn_Njj4_JIz6B0fxUqiJfcPw,Leona,0,4,14,9158,4631,27,117,True,UTILITY,2006,16.11.782.9736,3190,3869,3109,3076,1028,3047
NA1_5576572928,nBnq0cRbDT1nAvdhWxd4svlU6sBo92oQeI-Bh3u4fPpTvHikyqY7d6Xq061a2VcHxX_bfpHXDHFxTA,Heimerdinger,7,5,4,13390,29217,230,28,True,TOP,1591,16.11.782.9736,1056,3089,2421,4645,3020,0
NA1_5576572928,dIgJ_f392mWDQax-mn31MSNAMtaBzm5Qa_F9ZLUO9fPNpvmzfYogspjADs2r0mctiVTkqpiYbYC7Ow,Vi,10,2,10,13604,28401,20,26,True,JUNGLE,1591,16.11.782.9736,3111,3053,3123,6610,0,3078
NA1_5576572928,fxdxDko9aU5Jl4dGpEOuznCwTvERbm_-ieE0aeUZLKsViq49vOQhK-fEzRQkjU9y_VJgh0qAmeSDgg,Galio,9,1,9,11660,41839,193,15,True,MIDDLE,1591,16.11.782.9736,3916,3152,8010,3171,6653,3108
NA1_5576572928,z2KOhTGq4Tyycwov439bQN6LMTNxN-cdFQggieCBxelVpI33dFagYjGqj-XJrFohttYLvzt35mUEUw,Mel,9,5,13,12857,26531,211,16,True,BOTTOM,1591,16.11.782.9736,1056,2503,4645,4629,3041,0
NA1_5576572928,OyqYP0OOScZ4D7VMM4xaqlZjmL-g1exWZt5XMtGcHw65CQc3t34xH3Xcv1X7ITkq_TefbzOsXgqsMQ,Karma,4,3,23,9476,16727,33,83,True,UTILITY,1591,16.11.782.9736,3870,6617,6620,3158,1082,6616
NA1_5576572928,b0mWErjEAqKbvdO6dSM0RSSiI36UGiRykGGBacwCcbwdd4THOzTbOE_08WX58auysUBJsfoBnydCbg,Ekko,2,3,3,9761,8957,190,22,False,TOP,1591,16.11.782.9736,1056,4645,2510,1058,1082,1001
NA1_5576572928,IC0y1OUK2TeGz_8MjEpEXJ1wTBf650YitIMdLq_m_3Lclad9pt4t9vWPCH_S1ps7p3VDIEvbJ-QH5Q,Warwick,6,10,4,11829,15118,15,21,False,JUNGLE,1591,16.11.782.9736,6631,3111,3156,2019,2022,3211
NA1_5576572928,u0C4WXDf6UHfmV_qIbfKQPHa1CpsOyz5QNyckkyoWnIXbw0UgUMsNnEbJuwzbNEnwuNCu0E4yB-9_g,DrMundo,3,5,1,11789,18214,231,14,False,MIDDLE,1591,16.11.782.9736,3084,1054,3083,3170,3065,1057
