puu_id,region,server,range,league_points,wins,losses,winrate_%,matches_month
-ICaPa2_Fu3bNPek3mhOxFrEUH_4T5aDwr3uJj9BQE_jWxWxemdypFP9MRx5ZE1Uzd71trcZnpn5UQ,europe,RU,MASTER,508,853,891,48.91,1744
-6aZMYmZwaZsxX1mdRKKUgq8SrviR9RL32qq-J3hWluTXbjFQxEWDwq-3w4-izV3mk_VWjnMEZTdig,europe,RU,MASTER,255,581,601,49.15,1182
AB7nFYJGfUkV2tSpJpWx1QuITkikzrgNtCTTijXF1pzADXZITVvFBvzufOH_Z12Xq7RpqHqNjH39yg,europe,RU,MASTER,113,593,563,51.3,1156
wTwXr1clHPxVyabpySfBbO8VAVmghTyNFEfWN52IlNvILs2GP91SnVBii7jVfRA3CGPBbQ7O-W_ptQ,europe,RU,MASTER,72,540,501,51.87,1041
N4P2eLQJYoYBbZ2nsCLbY9-xOjlIJ1O-5ph6MHEo3g90PZv68xhTa5qWCBM2PB8lP5tOIvdHzUUYyg,europe,EUW1,CHALLENGER,3603,728,587,55.36,1315
uIUlGLvMQtcOlYF8QVtjIbiW0Em7dbViwVZz6265leYcEezDnEwqn_5XZRNa3hdVfU7XUjeQ9PhdTQ,europe,EUW1,CHALLENGER,3147,592,491,54.66,1083
s3dp0p9CrwK-na8xGArxjo2EFqK6rrCrEORc9nFB73qlkMLA8gmqzUd1ODL62HqO7DYZZHExv7LIzw,europe,EUW1,CHALLENGER,3142,594,432,57.89,1026
Mjk472QYeTwL5P4v-gqOCbWw4DwR5xiIiBosXlHVdj_uUpMnSsHB8t1MGkzrhn0hHCTKjLlJc1AtpQ,europe,EUW1,CHALLENGER,3112,697,586,54.33,1283
ilkBNT7sd4bk_90wjVNwgy5j8dIPsXvZjzMD1v2B-zSv-g9ZEIG-s80lRzgj8k-dFs22klHC-wPC1A,europe,EUW1,CHALLENGER,2966,571,443,56.31,1014
1uLYnhu_cUAI7ZlO8ypfYyN0uSBFrRQtyDzOOj4-1WW-sKXQmgeFoznEwPqRf-5WFUYceTMjjkwuEw,europe,EUW1,CHALLENGER,2917,649,546,54.31,1195
1vTeXWW-kcel_Nj0zIK9UVoPQQTfxO8CRH0qvwbynfUIgDInOtJuZR0FqOuoMbGPQJGJroJMTNlBOQ,europe,EUW1,CHALLENGER,2711,1040,866,54.56,1906
IJiGQdUOBveYuw8XbAS8qIkxHNXv-2uRs_EZyd4hXbqnQgiDv49DBWNkxffXgrRsclqpvY4CyiHouQ,europe,EUW1,CHALLENGER,2699,1025,950,51.9,1975
j9zt3AobGlrJVRePwDquV9GjS1f8y9qNauarQG72NBGHo9LxZEdtn3v1ezPyNQkQDiJ3KcZCp3hLMg,europe,EUW1,CHALLENGER,2570,677,582,53.77,1259
wH8608nTXsn4EOND0uhC5jOyuYYn5x7RhlotrpPqsgCHBIpwbBOREJE2AwxrVpSBCwlegY7IbhljYw,europe,EUW1,CHALLENGER,2558,566,479,54.16,1045
YYvFGJ5ffGRK3Hg9z5g3YQYu5dpoRwbLlu12VM5KLu62ayknhFyCGFTSd_m8rObk9rsDjdqIkzZGOA,europe,EUW1,CHALLENGER,2543,535,394,57.59,929
HifsA0vFQ8VU88VYbGrW5jUqDRGCDtIwC-Rl5TgrsWaJYxd5U0Di7fApR2ewyzoVDopyp9d1xhiJeg,europe,EUW1,CHALLENGER,2525,691,634,52.15,1325
